Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          1.500          1.500          
AC             3.797          4.500          5.888          
AH             3.797          0.000          3.797          
BC             0.000          0.000          0.000          
CD             3.682          1.636          4.029          
CH             0.115          0.136          0.178          
DE             3.682          1.636          4.029          
DH             0.000          0.273          0.273          
EF             0.000          0.000          0.000          
EG             3.797          4.500          5.888          
EH             0.115          0.136          0.178          
FG             0.000          1.500          1.500          
GH             3.797          0.000          3.797          
Point A        0.000          6.000          6.000          
Point G        0.000          6.000          6.000          
