Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          1.500          1.500          
AC             4.050          4.500          6.054          
AH             4.050          0.000          4.050          
BC             0.000          0.000          0.000          
CD             4.050          1.500          4.319          
CH             0.000          0.000          0.000          
DE             4.050          1.500          4.319          
DH             0.000          0.000          0.000          
EF             0.000          0.000          0.000          
EG             4.050          4.500          6.054          
EH             0.000          0.000          0.000          
FG             0.000          1.500          1.500          
GH             4.050          0.000          4.050          
Point A        0.000          6.000          6.000          
Point G        0.000          6.000          6.000          
