Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          1.500          1.500          
AC             4.821          4.500          6.595          
AH             4.821          0.000          4.821          
BC             0.000          0.000          0.000          
CD             5.000          1.333          5.175          
CH             0.179          0.167          0.244          
DE             5.000          1.333          5.175          
DH             0.000          0.333          0.333          
EF             0.000          0.000          0.000          
EG             4.821          4.500          6.595          
EH             0.179          0.167          0.244          
FG             0.000          1.500          1.500          
GH             4.821          0.000          4.821          
Point A        0.000          6.000          6.000          
Point G        0.000          6.000          6.000          
