Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          1.400          1.400          
AC             4.655          4.500          6.475          
AH             4.655          0.000          4.655          
BC             0.000          0.000          0.000          
CD             4.737          1.421          4.945          
CH             0.082          0.079          0.114          
DE             4.737          1.421          4.945          
DH             0.000          0.158          0.158          
EF             0.000          0.000          0.000          
EG             4.655          4.500          6.475          
EH             0.082          0.079          0.114          
FG             0.000          1.400          1.400          
GH             4.655          0.000          4.655          
Point A        0.000          5.900          5.900          
Point G        0.000          5.900          5.900          
