Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          1.500          1.500          
AC             4.590          5.100          6.861          
AH             4.590          0.000          4.590          
BC             0.000          0.000          0.000          
CD             4.590          1.700          4.895          
CH             0.000          0.000          0.000          
DE             4.590          1.700          4.895          
DH             0.000          0.000          0.000          
EF             0.000          0.000          0.000          
EG             4.590          5.100          6.861          
EH             0.000          0.000          0.000          
FG             0.000          1.500          1.500          
GH             4.590          0.000          4.590          
Point A        0.000          6.600          6.600          
Point G        0.000          6.600          6.600          
