Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          1.500          1.500          
AC             3.900          3.900          5.515          
AH             3.900          0.000          3.900          
BC             0.000          0.000          0.000          
CD             3.900          1.300          4.111          
CH             0.000          0.000          0.000          
DE             3.900          1.300          4.111          
DH             0.000          0.000          0.000          
EF             0.000          0.000          0.000          
EG             3.900          3.900          5.515          
EH             0.000          0.000          0.000          
FG             0.000          1.500          1.500          
GH             3.900          0.000          3.900          
Point A        0.000          5.400          5.400          
Point G        0.000          5.400          5.400          
