Element        Fx(kN)         Fy(kN)         F magnitude(kN)
AB             0.000          2.000          2.000          
AC             5.688          5.250          7.740          
AH             5.688          0.000          5.688          
BC             0.000          0.000          0.000          
CD             5.688          1.750          5.951          
CH             0.000          0.000          0.000          
DE             5.688          1.750          5.951          
DH             0.000          0.000          0.000          
EF             0.000          0.000          0.000          
EG             5.688          5.250          7.740          
EH             0.000          0.000          0.000          
FG             0.000          2.000          2.000          
GH             5.688          0.000          5.688          
Point A        0.000          7.250          7.250          
Point G        0.000          7.250          7.250          
